Name,GT,DC,QM
Công Ty TNHH Công Nghiệp Kingtec Việt Nam,"Cty TNHH Công Nghiệp Kingtec VN (100% vốn Đài Loan) chuyên sản xuất các mặt hàng đèn, nguồn sáng, gia dụng ngũ kim, sản phẩm ngủ kim, dụng cụ y tế ….Do nhu cầu mở rộng thị trường tiêu thụ và tình hình sản xuất không ngừng phát triển, năm 2015 Công ty tiến hành đầu tư thêm một nhà máy sản xuất tại Khu Công nghiệp Mỹ phước 3, Tỉnh Bình Dương.","ĐƯỜNG NE2, KCN MỸ PHƯỚC 3, BẾN CÁT, BÌNH DƯƠNG",Trên 300 người
Công Ty Cổ Phần Vinhomes,"Address: Tòa nhà văn phòng Symphony, Đường Chu Huy Mân, Vinhomes Riverside, P. Phúc Lợi, Q. Long Biên, Hà Nội VP HCM: Lầu 4 - Vincom MegaMall Thảo Điền, 161 Võ Nguyên Giáp, P. Thảo Điền, Tp. Thủ Đức, Hồ Chí Minh Size nhân sự: > 12.000 Vinhomes - Hệ thống căn hộ và biệt thự với dịch vụ đẳng cấp của Tập đoàn Vingroup Vinhomes cung cấp đến khách hàng một tiêu chuẩn sống đẳng cấp vượt trội mới, đây là sự kết hợp hoàn chỉnh giữa bất động sản nhà ở và hệ thống dịch vụ tiêu chuẩn cao tại những khu đô thị quy mô hàng đầu Việt Nam mang đẳng cấp quốc tế do Vingroup đầu tư. Với tầm nhìn chiến lược và phát triển bền vững, mỗi khu đô thị trong hệ thống Vinhomes đều tọa lạc tại các vị trí trung tâm Hà Nội và thành phố Hồ Chí Minh, hội tụ những giá trị vượt trội: Sản phẩm nhà ở chất lượng cao; Dịch vụ tại gia chuyên nghiệp; Môi trường sống xanh, sạch; Văn hóa cộng đồng nhân văn; An ninh – An toàn được đảm bảo; và Tiện ích đồng bộ, đầy đủ. Với Vinhomes, lần đầu tiên, cư dân đã và đang được trải nghiệm một môi trường sống lý tưởng, hoàn toàn mới – nơi hạnh phúc đến từ sự kết hợp hoàn chỉnh giữa tiện nghi sang trọng và hệ thống dịch vụ tiêu chuẩn 5*, tạo dựng một cuộc sống hạnh phúc ngập tràn. Các khu đô thị mang thương hiệu Vinhomes sẽ luôn là sự lựa chọn hoàn hảo cho quý vị.","Số 458 phố Minh Khai, phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành Phố Hà Nội",Trên 300 người
"Công Ty CP Tb Nha Khoa Thông Minh Việt Nam - Smartdental,. Jsc","Công ty Cổ phần thiết bị nha khoa thông minh Smartdental Việt Nam được thành lập với hoạt động chuyên nhập khẩu, phân phối, bảo hành và sửa chữa các thiết bị trong nha khoa. Công ty Smartdental đã cung cấp, lắp đặt hàng ngàn hệ thống máy móc nha khoa chuyên dùng hiện đại được nhập khẩu trực tiếp từ Hàn Quốc, Israel, ……, đặc biệt là các hệ thống ghế răng, máy nén khí, máy đo chiều dài ống tủy,… Công ty cũng cung cấp những dịch vụ kỹ thuật tốt nhất nhằm đảm bảo cho các hệ thống trên luôn hoạt động ổn định, hỗ trợ cho các bệnh viện, trung tâm y tế, phòng khám có thể cung cấp dịch vụ khám chữa răng miệng tiên tiến và ưu việt nhất cho bệnh nhân của mình. Chính vì vậy, công ty Smartdental nhận được sự tin cậy và ủng hộ của khách hàng là các bệnh viện, trung tâm y tế, phòng khám trên toàn quốc. Hiện nay, công ty Smartdental đã phát triển được một mạng lưới khách hàng rộng khắp, cung cấp sản phẩm và dịch vụ tới hầu hết các tỉnh thành trong cả nước. Với mong muốn mang những sản phẩm, công nghệ tiên tiến, hiện đại nhất trên thế giới về phục vụ cho nền y tế nước nhà, trong quá trình hoạt động, công ty đã nghiên cứu, liên hệ với các nhà sản xuất trang thiết bị, vật tư y tế hàng đầu trên thế giới để cung cấp về Việt Nam các sản phẩm của các nhà sản xuất thiết bị nha khoa hàng đầu thế giới. Công ty chúng tôi có một đội ngũ cán bộ, kỹ sư, nhân viên được đào tạo chính thức về thiết bị y tế và trải qua nhiều năm kinh nghiệm làm việc thực tế, có thể đáp ứng được những yêu cầu khắt khe nhất về chất lượng, thời gian cũng như hiệu quả công việc mà khách hàng đặt ra.","Văn phòng miền bắc : Tầng 1,Lô Sh04, sảnh B Toà nhà AZ Sky khu đô thị định công, Hoàng Mai, Hà Nội.",150 - 300 người
Công Ty TNHH Đầu Tư Và Thương Mại In Việt Tiến,CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI IN VIỆT TIẾN Tên giao dịch: VIET TIEN PRINTING TRADING AND INVESTMENT COMPANY LIMITED Công ty chuyên sản xuất khăn ướt Cao Cấp,"Thôn Viên Nội, Xã Vân Nội, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",10 - 150 người
Công Ty TNHH Akati Wood (Việt Nam),"CÔNG TY TNHH AKATI WOOD ( VIỆT NAM) ﻿ Công Ty TNHH Akati Wood (Việt Nam) là một công ty con của tập đoàn Dominant đến từ Singapore sản xuất và cung cấp Gỗ MDF, Ván gỗ MDF được thiết kế thân thiện với môi trường. Sản phẩm chính: + Gỗ công nghiệp, ván MDF : gỗ MDF, ván MDF, ván MDF phủ Melamine,.. + Ván ép : ván dăm, ván dán Plywood, ván MFC,.. Nhà máy có diện tích 13.500 m2 đồng thời sở hữu đội ngũ nhân viên chuyên nghiệp, kinh nghiệm, Công ty chúng tôi có đầy đủ tiềm lực để đưa đến Quý khách hàng những sản phẩm chất lượng cao nhất.","3 Đường số 6 Vsip II, Hòa Phú, Thủ Dầu Một, Bình Dương",10 - 150 người
Công Ty TNHH Ntpm Việt Nam,"NTPM tên đầy đủ là NiBong Tebal Paper Mill , là tập đoàn sản xuất giấy và các sản phẩm từ giấy của Malaysia , tập đoàn đang sở hữu 6 nhà máy tại Malaysia với tổng công suất 220 tấn giấy thành phẩm mỗi ngày, trong đó có 30% là dành cho xuất khẩu. Công ty TNHH NTPM (Việt Nam) là công ty 100% vốn đầu tư nước ngoài có xuất xứ từ Malaysia. NTPM là nhà sản xuất lớn nhất và cũng là công ty dẫn đầu thị trường khăn giấy tại Malaysia. NTPM không chỉ sản xuất và bán các sản phẩm khăn giấy mà còn chuyên sản xuất và bán các sản phẩm chăm sóc cá nhân như tã giấy, khăn ướt, băng vệ sinh và các sản phẩm từ cotton nữa. Năm 2013, NTPM đã xây dựng nhà máy sản xuất tại Bình Dương và đến năm 2014, công ty bắt đầu bán các sản phẩm khăn giấy bán thành phẩm như khăn giấy cuộn jumbo và khăn giấy cuộn lớn. Trong năm 2016 và đến nay, tất cả các loại khăn giấy và các sản phẩm liên quan đến khăn giấy như giấy vệ sinh cuộn, khăn bếp, khăn lau tay, khăn giấy gói, khăn bỏ túi, khăn giấy rút, … đã được sản xuất và phân phối trên khắp Việt Nam và cho thị trường quốc nội Bước sang năm 2021, Công ty TNHH NTPM (Việt Nam) cũng đã bắt đầu kinh doanh các sản phẩm chăm sóc cá nhân như tã giấy và khăn lau dành cho trẻ em.","Số 22 Vsip II-A, Đường số 23, Khu công nghiệp Việt Nam-Singapore II-A, phường Vĩnh Tân, thị xã Tân Uyên, tỉnh Bình Dương, Việt Nam",Trên 300 người
Công Ty TNHH BPO Niềm Tin Việt,"• Công ty TNHH Viễn thông Niềm Tin Việt (NTV Telecom) là nhà cung cấp dịch vụ và giải pháp dịch vụ chăm sóc khách hàng uy tín hàng đầu tại thị trường Việt Nam. Được thành lập từ năm 2007 với mục tiêu nâng cao chất lượng và hiệu quả của dịch vụ cũng như đáp ứng nhu cầu ngày càng cao của doanh nghiệp. Đến nay, dựa trên nền tảng nhiều năm kinh nghiệm, cũng như sự phát triển và làm việc độc lập, Niềm Tin Việt Telecom cung cấp cho doanh nghiệp dịch vụ như giao tiếp, xây dựng và phát triển mối quan hệ với khách hàng, chăm sóc khách hàng, bán hàng và dịch vụ khảo sát qua điện thoại. Với đội ngũ nhân viên được đào tạo chuyên nghiệp sáng tạo và tận tâm, Niềm Tin Việt cam kết cung cấp cho khách hàng những dịch vụ có giá trị và lợi thế cạnh tranh cao. Bạn có muốn gia nhập đội ngũ Call Center của Niềm Tin Việt ? • Vì sao chọn Niềm Tin Việt ? - Chúng tôi luôn hiểu và tin rằng con người là tài sản lớn nhất của Niềm Tin Việt. Tại Niềm Tin Việt, sự nghiệp của các bạn sẽ được phát triển cùng với sự lớn mạnh không ngừng của chúng tôi. Với chúng tôi, bạn là đồng nghiệp, là nguồn sống, là động lực để chúng tôi đầu tư hết mình. • Chính sách lương thưởng ? - Làm việc tại Niềm Tin Việt, bạn sẽ nhận được mức thu nhập tương xứng với năng lực và cạnh tranh so với thị trường. Ngoài ra, với đội ngũ nhân viên tận tâm, hết lòng vì công ty, chúng tôi luôn dành tặng mức thưởng tương xứng, như thể hiện sự trân trọng của chúng tôi đối với những đóng góp của các bạn. • Chúng tôi sẽ giúp bạn thành công thế nào trong tương lai ? - Với đội ngũ Back Office hỗ trợ chuyên nghiệp về NGHIỆP VỤ - KỸ NĂNG – GIAO TIẾP, chúng tôi tự tin rằng bạn sẽ không bao giờ thấy mình đơn độc trong môi trường chuyên nghiệp của công ty.","Block C, lầu 2 tòa nhà Vạn Đô, 348 Bến Vân Đồn, phường 1, quận 4, tp HỒ Chí Minh",150 - 300 người
Nguồn Hàng Quảng Châu - Trung Quốc,"Ordertietkiem là đơn vị cung cấp dịch vụ trung gian nhập hàng từ các website thương mại điện tử hàng đầu Trung Quốc. Dịch vụ của chúng tôi bao gồm: - Tư vấn tìm kiếm nguồn hàng trên các website bán buôn, bán lẻ hàng đầu Trung Quốc như alibaba.com, 1688.com, taobao.com, tmall.com... - Mua hàng và kiểm tra hàng hóa - Đóng gói và làm việc với các đơn vị vận chuyển hàng hóa về Việt Nam - Khiếu nại nhà cung cấp, hỗ trợ đổi trả hàng hóa Mục tiêu của Ordertietkiem là luôn dẫn đầu trong việc xây dựng tiêu chuẩn dịch vụ để phục vụ khách hàng ngày một tốt hơn. Trong suốt thời gian phát triển, đội ngũ Ordertietkiem luôn tự hào là đơn vị tiên phong thực hiện những cam kết mang tính thay đổi, dẫn dắt và đòi hỏi cao đối với thị trường: 1. chúng tôi thực hiện việc đặt hàng bằng công cụ và quản lý đơn hàng hoàn toàn trực tuyến, không thông qua file excel. Việc mua hàng thực hiện hàng ngày, không chờ thời gian chốt đơn. 2. chúng tôi đào tạo nhân lực kiểm hàng ngay tại Trung Quốc để giảm thiểu rủi ro và chi phí tài chính cho khách hàng nhập hàng. 3. chúng tôi thực hiện hệ thống kiểm soát mọi trạng thái đơn hàng và giao tiếp trực tuyến. Tới thời điểm này rất nhiều dịch vụ nhập hàng chưa thể đáp ứng được. 4. chúng tôi nâng cao tiêu chuẩn hỗ trợ khách hàng 24 / 7. 5. chúng tôi triển khai dịch vụ Chuyển phát nhanh với những cam kết nghiêm ngặt về thời gian vận chuyển. 6. chúng tôi cam kết không thu phí mua hàng nếu không thực hiện mua hàng trong vòng 24h. 7. Và còn rất nhiều những tiêu chuẩn dịch vụ mà Bạn chỉ cảm nhận được khi sử dụng dịch vụ của chúng tôi Chúng tôi hiểu rằng, để tiếp tục tồn tại trên thị trường, Ordertietkiem cần liên tục nâng cao chất lượng dịch vụ. Vì vậy, chúng tôi luôn kỳ vọng được hợp tác với những Khách hàng có những yêu cầu khắt khe nhất. Đó là tôn chỉ trong mọi hành động của Ordertietkiem trong suốt thời gian qua.","Số 37, ngõ 45, Trần Thái Tông, Cầu Giấy, Hà Nội",150 - 300 người
Công Ty TNHH CGT Media Group,Phần Mềm CNTT/Dịch vụ Phần mềm,"Lô 6 - DV 8, KĐT Tây Nam Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",10 - 150 người
Công Ty Cổ Phần Sản Xuất & Kinh Doanh Vinfast,"VinFast là công ty thành viên thuộc tập đoàn Vingroup. VINFAST được kết nối từ chuỗi viết tắt của các từ: Việt Nam - Phong cách - An toàn - Sáng tạo - Tiên phong với ý nghĩa tôn vinh xe thương hiệu Việt. Sự ra đời của VinFast thể hiện khát vọng xây dựng một thương hiệu Việt Nam có tầm thế giới, khẳng định khả năng làm chủ các công nghệ hiện đại của người Việt. Thông qua lĩnh vực sản xuất ô tô, xe máy- một trong những ngành công nghiệp mang tính dẫn dắt, có tác động tới nhiều ngành nghề khác - Vingroup mong muốn tham gia góp phần thúc đẩy sự phát triển của ngành công nghiệp nặng và chế tạo tại Việt Nam, góp phần thực hiện công nghiệp hóa, hiện đại hóa đất nước. Thương hiệu VinFast thể hiện Phong cách – An toàn – Sáng tạo – Tiên phong – Tự hào – Toàn cầu. Sứ mệnh: Ghi dấu bản sắc Việt trên bản đồ ngành công nghiệp sản xuất xe toàn cầu Tầm nhìn: trở thành nhà sản xuất xe hàng đầu Đông Nam Á","KĐT Times City, 458 Minh Khai, quận Hai Bà Trưng, Hà Nội",Trên 300 người
